,OPEN,HIGH,LOW,CLOSE,VOLUME,YEAR,MONTH,DAY,HOUR,MINUTES,SECONDS
0,3.18,3.22,3.2,3.18,31178,2004,1,23,9,30,0
1,3.2,3.25,3.23,3.2,46228,2004,1,23,10,0,0
2,3.23,3.23,3.23,3.21,32627,2004,1,23,11,0,0
3,3.23,3.24,3.22,3.21,40201,2004,1,23,12,0,0
4,3.22,3.23,3.21,3.21,14798,2004,1,23,13,0,0
5,3.21,3.22,3.21,3.2,29540,2004,1,23,14,0,0
6,3.21,3.24,3.23,3.2,74326,2004,1,23,15,0,0
7,3.21,3.25,3.24,3.2,32641,2004,1,26,9,30,0
8,3.24,3.25,3.24,3.22,52325,2004,1,26,10,0,0
9,3.24,3.26,3.25,3.24,42224,2004,1,26,11,0,0
10,3.25,3.28,3.25,3.25,31941,2004,1,26,12,0,0
11,3.25,3.27,3.27,3.25,27685,2004,1,26,13,0,0
12,3.27,3.28,3.28,3.26,40817,2004,1,26,14,0,0
13,3.28,3.29,3.29,3.28,89453,2004,1,26,15,0,0
14,3.29,3.3,3.29,3.28,23891,2004,1,27,9,30,0
15,3.29,3.31,3.28,3.26,53935,2004,1,27,10,0,0
16,3.28,3.29,3.29,3.27,41958,2004,1,27,11,0,0
17,3.29,3.29,3.29,3.27,45948,2004,1,27,12,0,0
18,3.29,3.31,3.31,3.29,58114,2004,1,27,13,0,0
19,3.31,3.32,3.31,3.29,56896,2004,1,27,14,0,0
20,3.31,3.31,3.29,3.27,62132,2004,1,27,15,0,0
21,3.26,3.32,3.29,3.26,23548,2004,1,28,9,30,0
22,3.29,3.32,3.29,3.28,29281,2004,1,28,10,0,0
23,3.29,3.34,3.33,3.29,68404,2004,1,28,11,0,0
24,3.33,3.33,3.32,3.31,22512,2004,1,28,12,0,0
25,3.32,3.32,3.31,3.31,14924,2004,1,28,13,0,0
26,3.31,3.32,3.26,3.23,73395,2004,1,28,14,0,0
27,3.26,3.28,3.21,3.2,94661,2004,1,28,15,0,0
28,3.22,3.24,3.21,3.21,41482,2004,2,2,9,30,0
29,3.21,3.23,3.21,3.18,71799,2004,2,2,10,0,0
30,3.21,3.26,3.26,3.18,41160,2004,2,2,11,0,0
31,3.26,3.26,3.24,3.22,23898,2004,2,2,12,0,0
32,3.24,3.24,3.22,3.22,25585,2004,2,2,13,0,0
33,3.22,3.23,3.23,3.21,34314,2004,2,2,14,0,0
34,3.22,3.23,3.19,3.16,83489,2004,2,2,15,0,0
35,3.18,3.2,3.17,3.16,24528,2004,2,3,9,30,0
36,3.17,3.19,3.16,3.14,53417,2004,2,3,10,0,0
37,3.16,3.17,3.17,3.15,26068,2004,2,3,11,0,0
38,3.17,3.19,3.19,3.16,24738,2004,2,3,12,0,0
39,3.19,3.19,3.19,3.17,17066,2004,2,3,13,0,0
40,3.18,3.19,3.18,3.16,28322,2004,2,3,14,0,0
41,3.18,3.19,3.18,3.16,38822,2004,2,3,15,0,0
42,3.15,3.15,3.14,3.12,45479,2004,2,4,9,30,0
43,3.14,3.16,3.12,3.12,46963,2004,2,4,10,0,0
44,3.12,3.13,3.12,3.11,30303,2004,2,4,11,0,0
45,3.11,3.13,3.12,3.11,28049,2004,2,4,12,0,0
46,3.11,3.13,3.13,3.11,34699,2004,2,4,13,0,0
47,3.13,3.13,3.11,3.1,60522,2004,2,4,14,0,0
48,3.11,3.13,3.11,3.1,106470,2004,2,4,15,0,0
49,3.12,3.2,3.15,3.12,41538,2004,2,5,9,30,0
50,3.15,3.16,3.15,3.14,47446,2004,2,5,10,0,0
51,3.15,3.17,3.16,3.14,32291,2004,2,5,11,0,0
52,3.17,3.2,3.2,3.16,53634,2004,2,5,12,0,0
53,3.2,3.22,3.22,3.2,54733,2004,2,5,13,0,0
54,3.22,3.24,3.19,3.18,47957,2004,2,5,14,0,0
55,3.18,3.27,3.21,3.18,114800,2004,2,5,15,0,0
56,3.21,3.26,3.22,3.2,24101,2004,2,6,9,30,0
57,3.22,3.27,3.25,3.22,39823,2004,2,6,10,0,0
58,3.25,3.25,3.25,3.24,15631,2004,2,6,11,0,0
59,3.25,3.25,3.24,3.23,27825,2004,2,6,12,0,0
60,3.24,3.25,3.24,3.24,20146,2004,2,6,13,0,0
61,3.24,3.25,3.24,3.23,37044,2004,2,6,14,0,0
62,3.24,3.25,3.25,3.23,48209,2004,2,6,15,0,0
63,3.3,3.36,3.35,3.29,51723,2004,2,11,9,30,0
64,3.35,3.38,3.37,3.33,85414,2004,2,11,10,0,0
65,3.37,3.4,3.37,3.36,63357,2004,2,11,11,0,0
66,3.37,3.4,3.39,3.37,35679,2004,2,11,12,0,0
67,3.39,3.41,3.39,3.38,44849,2004,2,11,13,0,0
68,3.4,3.41,3.4,3.39,44002,2004,2,11,14,0,0
69,3.4,3.41,3.4,3.39,95501,2004,2,11,15,0,0
70,3.39,3.41,3.39,3.37,37618,2004,2,12,9,30,0
71,3.4,3.43,3.41,3.4,46830,2004,2,12,10,0,0
72,3.41,3.42,3.4,3.4,25011,2004,2,12,11,0,0
73,3.4,3.41,3.4,3.39,20951,2004,2,12,12,0,0
74,3.4,3.42,3.41,3.4,24514,2004,2,12,13,0,0
75,3.41,3.42,3.42,3.4,22022,2004,2,12,14,0,0
76,3.42,3.42,3.39,3.39,42994,2004,2,12,15,0,0
77,3.4,3.44,3.41,3.37,66535,2004,2,13,9,30,0
78,3.41,3.42,3.31,3.26,76559,2004,2,13,10,0,0
79,3.31,3.32,3.32,3.29,36589,2004,2,13,11,0,0
80,3.32,3.34,3.32,3.31,31528,2004,2,13,12,0,0
81,3.32,3.33,3.3,3.3,44289,2004,2,13,13,0,0
82,3.31,3.31,3.29,3.29,41188,2004,2,13,14,0,0
83,3.29,3.3,3.28,3.28,67109,2004,2,13,15,0,0
84,3.31,3.36,3.32,3.3,49728,2004,2,17,9,30,0
85,3.32,3.33,3.31,3.3,32501,2004,2,17,10,0,0
86,3.31,3.33,3.32,3.31,19971,2004,2,17,11,0,0
87,3.32,3.34,3.34,3.32,14021,2004,2,17,12,0,0
88,3.34,3.34,3.33,3.31,18522,2004,2,17,13,0,0
89,3.33,3.34,3.33,3.32,24325,2004,2,17,14,0,0
90,3.33,3.33,3.31,3.31,35630,2004,2,17,15,0,0
91,3.3,3.31,3.31,3.29,43540,2004,2,18,9,30,0
92,3.31,3.35,3.32,3.31,40145,2004,2,18,10,0,0
93,3.32,3.32,3.32,3.31,12019,2004,2,18,11,0,0
94,3.32,3.34,3.33,3.32,10640,2004,2,18,12,0,0
95,3.32,3.33,3.32,3.32,6923,2004,2,18,13,0,0
96,3.32,3.32,3.3,3.29,20020,2004,2,18,14,0,0
97,3.3,3.33,3.32,3.3,30058,2004,2,18,15,0,0
98,3.33,3.38,3.36,3.32,30639,2004,2,19,9,30,0
99,3.35,3.35,3.32,3.31,33635,2004,2,19,10,0,0
100,3.32,3.32,3.25,3.25,68558,2004,2,19,11,0,0
101,3.25,3.28,3.28,3.24,44212,2004,2,19,12,0,0
102,3.27,3.28,3.27,3.25,21133,2004,2,19,13,0,0
103,3.27,3.27,3.23,3.23,55818,2004,2,19,14,0,0
104,3.23,3.25,3.21,3.2,133511,2004,2,19,15,0,0
105,3.21,3.21,3.18,3.18,44464,2004,2,20,9,30,0
106,3.18,3.21,3.19,3.17,59472,2004,2,20,10,0,0
107,3.19,3.21,3.21,3.19,28126,2004,2,20,11,0,0
108,3.21,3.21,3.19,3.18,32417,2004,2,20,12,0,0
109,3.19,3.2,3.19,3.18,35280,2004,2,20,13,0,0
110,3.2,3.22,3.21,3.19,52689,2004,2,20,14,0,0
111,3.21,3.21,3.19,3.19,68677,2004,2,20,15,0,0
112,3.21,3.21,3.18,3.15,33425,2004,2,23,9,30,0
113,3.18,3.2,3.2,3.17,36379,2004,2,23,10,0,0
114,3.2,3.2,3.16,3.16,18431,2004,2,23,11,0,0
115,3.16,3.17,3.16,3.15,24857,2004,2,23,12,0,0
116,3.15,3.17,3.16,3.15,26075,2004,2,23,13,0,0
117,3.15,3.15,3.13,3.13,37744,2004,2,23,14,0,0
118,3.13,3.16,3.16,3.13,49028,2004,2,23,15,0,0
119,3.15,3.2,3.18,3.15,27370,2004,2,24,9,30,0
120,3.18,3.22,3.21,3.14,52605,2004,2,24,10,0,0
121,3.21,3.22,3.21,3.2,32347,2004,2,24,11,0,0
122,3.21,3.25,3.24,3.21,21504,2004,2,24,12,0,0
123,3.24,3.25,3.23,3.22,38598,2004,2,24,13,0,0
124,3.23,3.23,3.2,3.2,53858,2004,2,24,14,0,0
125,3.2,3.22,3.2,3.19,63889,2004,2,24,15,0,0
126,3.17,3.22,3.22,3.17,30604,2004,2,25,9,30,0
127,3.22,3.39,3.25,3.21,44527,2004,2,25,10,0,0
128,3.25,3.27,3.26,3.24,53627,2004,2,25,11,0,0
129,3.25,3.27,3.27,3.24,30289,2004,2,25,12,0,0
130,3.27,3.27,3.25,3.25,33544,2004,2,25,13,0,0
131,3.25,3.26,3.26,3.25,34496,2004,2,25,14,0,0
132,3.26,3.27,3.26,3.25,84777,2004,2,25,15,0,0
133,3.26,3.29,3.28,3.26,36225,2004,2,26,9,30,0
134,3.28,3.3,3.29,3.28,41839,2004,2,26,10,0,0
135,3.29,3.31,3.3,3.29,29113,2004,2,26,11,0,0
136,3.3,3.31,3.3,3.29,25501,2004,2,26,12,0,0
137,3.3,3.31,3.31,3.3,24108,2004,2,26,13,0,0
138,3.31,3.31,3.3,3.29,27111,2004,2,26,14,0,0
139,3.3,3.31,3.3,3.29,38689,2004,2,26,15,0,0
140,3.28,3.31,3.31,3.28,21686,2004,2,27,9,30,0
141,3.31,3.32,3.31,3.3,22652,2004,2,27,10,0,0
142,3.31,3.34,3.33,3.3,73990,2004,2,27,11,0,0
143,3.33,3.41,3.38,3.24,161077,2004,2,27,12,0,0
144,3.38,3.39,3.38,3.37,73815,2004,2,27,13,0,0
145,3.38,3.43,3.42,3.38,79954,2004,2,27,14,0,0
146,3.42,3.43,3.42,3.4,109683,2004,2,27,15,0,0
147,3.44,3.47,3.42,3.41,74830,2004,3,1,9,30,0
148,3.42,3.5,3.42,3.41,51072,2004,3,1,10,0,0
149,3.42,3.43,3.43,3.41,37975,2004,3,1,11,0,0
150,3.43,3.44,3.42,3.42,28105,2004,3,1,12,0,0
151,3.42,3.43,3.43,3.42,31850,2004,3,1,13,0,0
152,3.43,3.44,3.44,3.42,52206,2004,3,1,14,0,0
153,3.44,3.44,3.44,3.43,64687,2004,3,1,15,0,0
154,3.43,3.44,3.42,3.42,25242,2004,3,2,9,30,0
155,3.42,3.44,3.44,3.41,50967,2004,3,2,10,0,0
156,3.44,3.44,3.43,3.42,34713,2004,3,2,11,0,0
157,3.43,3.43,3.41,3.41,44324,2004,3,2,12,0,0
158,3.42,3.42,3.41,3.4,36750,2004,3,2,13,0,0
159,3.41,3.42,3.42,3.4,27517,2004,3,2,14,0,0
160,3.42,3.43,3.4,3.4,56952,2004,3,2,15,0,0
161,3.37,3.4,3.38,3.37,20104,2004,3,3,9,30,0
162,3.38,3.4,3.4,3.37,32291,2004,3,3,10,0,0
163,3.4,3.43,3.42,3.4,22694,2004,3,3,11,0,0
164,3.42,3.43,3.42,3.42,25851,2004,3,3,12,0,0
165,3.42,3.45,3.45,3.42,36799,2004,3,3,13,0,0
166,3.45,3.46,3.43,3.43,43974,2004,3,3,14,0,0
167,3.43,3.44,3.41,3.41,81221,2004,3,3,15,0,0
168,3.42,3.46,3.45,3.41,38241,2004,3,4,9,30,0
169,3.45,3.5,3.5,3.45,65541,2004,3,4,10,0,0
170,3.49,3.5,3.48,3.48,50771,2004,3,4,11,0,0
171,3.48,3.51,3.5,3.48,46172,2004,3,4,12,0,0
172,3.5,3.52,3.51,3.5,99533,2004,3,4,13,0,0
173,3.51,3.53,3.53,3.49,62426,2004,3,4,14,0,0
174,3.53,3.6,3.59,3.52,350749,2004,3,4,15,0,0
175,3.57,3.89,3.82,3.56,341439,2004,3,5,9,30,0
176,3.82,3.99,3.82,3.77,642285,2004,3,5,10,0,0
177,3.82,3.83,3.81,3.75,207522,2004,3,5,11,0,0
178,3.81,3.86,3.86,3.79,164787,2004,3,5,12,0,0
179,3.86,3.86,3.83,3.81,152390,2004,3,5,13,0,0
180,3.83,3.86,3.86,3.83,120127,2004,3,5,14,0,0
181,3.86,3.87,3.83,3.71,261653,2004,3,5,15,0,0
182,3.8,3.83,3.76,3.73,124684,2004,3,8,9,30,0
183,3.76,4.21,3.76,3.76,101682,2004,3,8,10,0,0
184,3.76,3.78,3.77,3.75,68103,2004,3,8,11,0,0
185,3.77,3.79,3.77,3.76,35931,2004,3,8,12,0,0
186,3.77,3.77,3.7,3.69,96075,2004,3,8,13,0,0
187,3.7,3.74,3.7,3.69,101626,2004,3,8,14,0,0
188,3.7,3.72,3.7,3.69,86569,2004,3,8,15,0,0
189,3.7,3.79,3.78,3.68,69076,2004,3,9,9,30,0
190,3.78,3.78,3.78,3.69,113008,2004,3,9,10,0,0
191,3.78,3.81,3.78,3.77,83951,2004,3,9,11,0,0
192,3.78,3.8,3.79,3.77,67830,2004,3,9,12,0,0
193,3.79,3.8,3.79,3.79,56931,2004,3,9,13,0,0
194,3.79,3.85,3.83,3.78,114450,2004,3,9,14,0,0
195,3.83,3.89,3.86,3.82,244265,2004,3,9,15,0,0
196,3.85,3.93,3.92,3.85,137445,2004,3,10,9,30,0
197,3.92,4.02,4,3.91,388080,2004,3,10,10,0,0
198,4,4.02,3.99,3.98,184044,2004,3,10,11,0,0
199,3.99,3.99,3.97,3.97,104741,2004,3,10,12,0,0
200,3.97,3.97,3.95,3.9,144445,2004,3,10,13,0,0
201,3.95,3.97,3.93,3.92,98049,2004,3,10,14,0,0
202,3.93,3.96,3.95,3.91,166082,2004,3,10,15,0,0
203,3.91,4.01,3.98,3.89,140861,2004,3,11,9,30,0
204,3.98,4,3.98,3.95,139440,2004,3,11,10,0,0
205,3.98,3.99,3.96,3.94,71043,2004,3,11,11,0,0
206,3.96,3.98,3.98,3.95,51548,2004,3,11,12,0,0
207,3.98,4,3.96,3.95,44695,2004,3,11,13,0,0
208,3.96,3.99,3.94,3.92,99435,2004,3,11,14,0,0
209,3.94,3.95,3.89,3.87,157185,2004,3,11,15,0,0
210,3.91,3.97,3.94,3.88,75978,2004,3,12,9,30,0
211,3.94,3.95,3.91,3.89,106267,2004,3,12,10,0,0
212,3.91,3.95,3.95,3.9,50694,2004,3,12,11,0,0
213,3.95,3.95,3.93,3.92,43113,2004,3,12,12,0,0
214,3.93,3.93,3.9,3.9,24332,2004,3,12,13,0,0
215,3.9,3.92,3.91,3.9,25599,2004,3,12,14,0,0
216,3.91,3.94,3.94,3.9,68719,2004,3,12,15,0,0
217,3.86,3.91,3.87,3.84,80402,2004,3,15,9,30,0
218,3.87,3.89,3.81,3.8,89621,2004,3,15,10,0,0
219,3.81,3.83,3.81,3.79,87689,2004,3,15,11,0,0
